"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
"lambda[143]",0.00807646328901631,0.00012910852518033,0.00751694049929406,0.00157960879697034,0.00381592061686127,0.00607925707876597,0.00976366311860716,0.0266012035871868,3389.78680500674,0.999971843750809,"lambda[143]"
"lambda[144]",0.00960744078922998,0.000176021535182423,0.0095198347118749,0.00163408278075178,0.00428555339554281,0.00704296315303595,0.0116093855530261,0.0344735433125538,2925.00900351339,1.00038878887636,"lambda[144]"
"lambda[145]",0.00149811118919436,3.58208599588856e-05,0.00121643531726917,0.000209431934347007,0.000670212432234092,0.00115499114229716,0.00193303429001365,0.00463866878294123,1153.20369630163,1.00249125206148,"lambda[145]"
"lambda[146]",0.012169413616776,0.000164181536505147,0.0102576867104809,0.00256667474293956,0.0060490210273165,0.00932796214889203,0.0148550197443409,0.0373673313910415,3903.46446402456,0.99969306447489,"lambda[146]"
"lambda[147]",0.00552466122205833,6.60514133289681e-05,0.00375578654835679,0.00125328696468894,0.00300878658146258,0.00459610122678566,0.00693930253763419,0.0154005748826427,3233.2372574666,0.999865685562082,"lambda[147]"
"lambda[148]",0.00203731674711978,3.54783653190605e-05,0.00142222645823013,0.000369895603120686,0.00103204755857715,0.00168872238890918,0.00266083616949158,0.00574791235346555,1606.9793825427,1.00142367181157,"lambda[148]"
"lambda[149]",0.00875756377243909,0.000134849991595524,0.00775491598884045,0.00172617967194349,0.00420280870231181,0.00668707965612429,0.0105665179709135,0.0293704863016438,3307.13822649017,0.999958618885429,"lambda[149]"
"lambda[150]",0.00299066229449239,4.5276801346841e-05,0.00193270538828742,0.000625966829850401,0.00161369477916751,0.0025627084071529,0.00386331544962966,0.00791396539813132,1822.13201695364,0.999771545034022,"lambda[150]"
"lambda[151]",0.00244545615010489,5.25768947716025e-05,0.00179542018533689,0.000378655095988659,0.00121599774250425,0.00198918207700614,0.00317213166272105,0.00698481522880316,1166.11757666856,1.00179930183766,"lambda[151]"
"lambda[152]",0.00207966009045238,4.47646477063704e-05,0.00150381298712168,0.000353354031289645,0.00104892253049083,0.00170078474031183,0.00268817725987903,0.00605700662514354,1128.54094446253,1.00176084151508,"lambda[152]"
"lambda[153]",0.0018135052109275,5.33806906027035e-05,0.00153534482637377,0.000229795992447415,0.000787548214374655,0.00139014902931295,0.00233539293402096,0.0059350706129666,827.262777153214,1.00393627192517,"lambda[153]"
"lambda[154]",0.000945206880561584,3.20766771765699e-05,0.000976688525985311,8.98199455314327e-05,0.000343724654741068,0.000649481012730226,0.00120142280884674,0.00346782860365036,927.114609340904,1.0036233191034,"lambda[154]"
